Host,Dopant,Eseg,fcc_facet,cn,pauly_eneg_host,pauly_eneg_dopant,diff_pauly_eneg,CEb_host,CEb_dopant,diff_CEb,diff_CEb/cn,gordy_eneg_host,gordy_eneg_dopant,diff_gordy_eneg,r_host,r_dopant,diff_r,EA_host,EA_dopant,diff_EA,IP_host,IP_dopant,diff_IP,CEb_host/CN,CEb_dopant/CN,CEb_host/sqrtCN,CEb_dopant/sqrtCN,diff_CEb/sqrtCN,CEb_host*CN,CEb_dopant*CN,diff_CEb*CN,density_host,density_dopant,diff_density,lattice_const_host,lattice_const_dopant,diff_lattice_const,dipole_polar_host,dipole_polar_dopant,diff_dipole_polar
Pt,Ir,0.973,110,7,2.2,2.2,0.0,-5.42,-7.19,1.7700000000000005,0.25285714285714295,0.0260162601626016,0.0290983606557376,-0.003082100493135998,1.77,1.8,-0.030000000000000027,2.128,1.5638,0.5642,8.95883,8.96702,-0.008189999999999031,-0.7742857142857142,-1.0271428571428571,-2.0485674437100116,-2.717564560936344,0.6689971172263323,-37.94,-50.330000000000005,12.390000000000008,21.45,22.42,-0.9700000000000024,3.92,3.84,0.08000000000000007,48.0,54.0,-6.0
Pt,Au,-0.559,110,7,2.2,2.4,-0.19999999999999973,-5.42,-3.03,-2.39,-0.34142857142857147,0.0260162601626016,0.0270161290322581,-0.000999868869656497,1.77,1.74,0.030000000000000027,2.128,2.30863,-0.18062999999999985,8.95883,9.225553,-0.26672299999999893,-0.7742857142857142,-0.43285714285714283,-2.0485674437100116,-1.1452323532179585,-0.9033350904920532,-37.94,-21.209999999999997,-16.73,21.45,19.3,2.1499999999999986,3.92,4.08,-0.16000000000000014,48.0,36.0,12.0
Pt,Rh,0.71,110,7,2.2,2.28,-0.07999999999999963,-5.42,-5.7,0.28000000000000025,0.040000000000000036,0.0260162601626016,0.0243999999999999,0.0016162601626017008,1.77,1.73,0.040000000000000036,2.128,1.137,0.9910000000000001,8.95883,7.4589,1.4999300000000009,-0.7742857142857142,-0.8142857142857143,-2.0485674437100116,-2.1543974961525953,0.1058300524425837,-37.94,-39.9,1.9600000000000009,21.45,12.41,9.04,3.92,3.8,0.1200000000000001,48.0,66.0,-18.0
Rh,Pt,0.169,110,7,2.28,2.2,0.07999999999999963,-5.7,-5.42,-0.28000000000000025,-0.040000000000000036,0.0243999999999999,0.0260162601626016,-0.0016162601626017008,1.73,1.77,-0.040000000000000036,1.137,2.128,-0.9910000000000001,7.4589,8.95883,-1.4999300000000009,-0.8142857142857143,-0.7742857142857142,-2.1543974961525953,-2.0485674437100116,-0.1058300524425837,-39.9,-37.94,-1.9600000000000009,12.41,21.45,-9.04,3.8,3.92,-0.1200000000000001,66.0,48.0,18.0
Pd,Cu,0.0469,110,7,2.2,1.9,0.30000000000000027,-3.74,-3.48,-0.26000000000000023,-0.03714285714285718,0.054166667,0.0299107142857142,0.0242559527142858,1.69,1.45,0.24,0.562,1.235,-0.673,8.33686,7.72638,0.6104799999999999,-0.5342857142857144,-0.49714285714285716,-1.41358712905451,-1.3153163660721108,-0.09827076298239912,-26.18,-24.36,-1.8200000000000003,12.02,8.96,3.0599999999999987,3.89,3.61,0.28000000000000025,26.14,46.5,-20.36
Pd,Ag,-0.446,110,7,2.2,1.93,0.27000000000000024,-3.74,-2.52,-1.2200000000000002,-0.17428571428571432,0.054166667,0.026171875,0.027994792,1.69,1.65,0.040000000000000036,0.562,1.30199999999999,-0.73999999999999,8.33686,7.576234,0.7606259999999994,-0.5342857142857144,-0.36,-1.41358712905451,-0.9524704719832525,-0.4611166570712574,-26.18,-17.64,-8.54,12.02,10.5,1.5199999999999996,3.89,4.09,-0.19999999999999973,26.14,55.0,-28.86
Pd,Au,-0.412,110,7,2.2,2.4,-0.19999999999999973,-3.74,-3.03,-0.7100000000000004,-0.10142857142857149,0.054166667,0.0270161290322581,0.027150537967741903,1.69,1.74,-0.050000000000000044,0.562,2.30863,-1.74663,8.33686,9.225553,-0.888693,-0.5342857142857144,-0.43285714285714283,-1.41358712905451,-1.1452323532179585,-0.26835477583655143,-26.18,-21.209999999999997,-4.970000000000002,12.02,19.3,-7.280000000000001,3.89,4.08,-0.18999999999999995,26.14,36.0,-9.86
Ir,Pt,-0.876,110,7,2.2,2.2,0.0,-7.19,-5.42,-1.7700000000000005,-0.25285714285714295,0.0290983606557376,0.0260162601626016,0.003082100493135998,1.8,1.77,0.030000000000000027,1.5638,2.128,-0.5642,8.96702,8.95883,0.008189999999999031,-1.0271428571428571,-0.7742857142857142,-2.717564560936344,-2.0485674437100116,-0.6689971172263323,-50.330000000000005,-37.94,-12.390000000000008,22.42,21.45,0.9700000000000024,3.84,3.92,-0.08000000000000007,54.0,48.0,6.0
Pt,Rh,0.772,100,8,2.2,2.28,-0.07999999999999963,-5.42,-5.7,0.28000000000000025,0.03500000000000003,0.0260162601626016,0.0243999999999999,0.0016162601626017008,1.77,1.73,0.040000000000000036,2.128,1.137,0.9910000000000001,8.95883,7.4589,1.4999300000000009,-0.6775,-0.7125,-1.9162593770155436,-2.0152543263816605,0.09899494936611686,-43.36,-45.6,2.240000000000002,21.45,12.41,9.04,3.92,3.8,0.1200000000000001,48.0,66.0,-18.0
Rh,Pt,0.326,100,8,2.28,2.2,0.07999999999999963,-5.7,-5.42,-0.28000000000000025,-0.03500000000000003,0.0243999999999999,0.0260162601626016,-0.0016162601626017008,1.73,1.77,-0.040000000000000036,1.137,2.128,-0.9910000000000001,7.4589,8.95883,-1.4999300000000009,-0.7125,-0.6775,-2.0152543263816605,-1.9162593770155436,-0.09899494936611686,-45.6,-43.36,-2.240000000000002,12.41,21.45,-9.04,3.8,3.92,-0.1200000000000001,66.0,48.0,18.0
Pd,Cu,-0.00996,100,8,2.2,1.9,0.30000000000000027,-3.74,-3.48,-0.26000000000000023,-0.03250000000000003,0.054166667,0.0299107142857142,0.0242559527142858,1.69,1.45,0.24,0.562,1.235,-0.673,8.33686,7.72638,0.6104799999999999,-0.4675,-0.435,-1.3222896808188438,-1.2303657992645927,-0.09192388155425113,-29.92,-27.84,-2.080000000000002,12.02,8.96,3.0599999999999987,3.89,3.61,0.28000000000000025,26.14,46.5,-20.36
